date,day_of_week,is_weekend,is_holiday,is_festival,festival_name,season,temperature,humidity,facility_type,family_members,ac_units,ac_hours,fan_units,fan_hours,refrigerator_units,geyser_hours,washing_machine_hours,tv_hours,ev_charging,ev_charging_hours,total_flats,occupied_flats,residents,lifts,lift_usage_level,pumps,pump_hours,common_lighting_hours,gym_pool_active,ev_points,ev_usage_hours,cctv_active,employees,employees_present,working_hours,computers,computer_hours,server_active,server_hours,lighting_hours,heavy_equipment,students,students_present,classrooms,labs,lab_hours,hostel_active,hostel_occupancy,exam_period,campus_event,event_duration_hours,event_type,expected_guests,decorative_lighting_hours,catering_active,sound_system_active,solar_available,solar_generation,previous_demand,previous_peak,previous_bill,daily_energy_consumption_kwh,peak_demand_kw
2024-01-01,0,0,0,0,None,Winter,17.5,60.8,home,2,1,0.8,4,6.2,1,2.5,0.0,3.5,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,None,0,0.0,0,0,0,0.0,3.7,3.75,1936,11.5,3.9
2024-01-01,0,0,0,0,None,Winter,17.5,60.8,home,4,0,0.0,8,5.2,1,1.5,0.0,3.1,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,None,0,0.0,0,0,0,0.0,3.04,3.2,5777,11.15,3.19
2024-01-01,0,0,0,0,None,Winter,17.5,60.8,home,6,0,0.1,12,3.7,1,1.7,0.0,2.5,1,4.0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,None,0,0.0,0,0,1,4.85,7.59,7.12,11441,24.41,7.4
2024-01-01,0,0,0,0,None,Winter,17.5,60.8,society,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,45,41,134,2,2,1,5.2,11.9,0,2,0.0,1,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,None,0,0.0,0,0,0,0.0,15.03,16.45,39278,69.47,15.53
2024-01-01,0,0,0,0,None,Winter,17.5,60.8,society,0,0,0.0,0,0.0,0,0.0,0.0,0.0,1,3.2,120,107,341,4,2,3,4.0,11.6,1,6,3.2,1,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,None,0,0.0,0,0,1,101.13,36.26,36.02,101687,143.92,34.73
2024-01-01,0,0,0,0,None,Winter,17.5,60.8,society,0,0,0.0,0,0.0,0,0.0,0.0,0.0,1,5.6,260,243,810,8,2,6,4.8,11.2,1,12,5.6,1,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,None,0,0.0,0,0,1,167.13,72.47,77.36,221967,421.49,74.29
2024-01-01,0,0,0,0,None,Winter,17.5,60.8,office,0,4,4.2,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,1,2,0,0.0,0.0,0,0,0.0,1,35,31,8.5,35,7.8,1,24.0,10.0,0,0,0,0,0,0.0,0,0,0,0,0.0,None,0,0.0,0,0,0,0.0,17.77,18.4,25540,203.53,17.64
2024-01-01,0,0,0,0,None,Winter,17.5,60.8,office,0,12,4.1,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,2,2,0,0.0,0.0,0,0,0.0,1,115,99,8.2,110,7.5,1,24.0,9.7,0,0,0,0,0,0.0,0,0,0,0,0.0,None,0,0.0,0,0,1,100.63,44.77,48.48,68199,424.63,47.44
2024-01-01,0,0,0,0,None,Winter,17.5,60.8,office,0,32,4.5,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,2,2,0,0.0,0.0,0,0,0.0,1,320,267,9.0,300,8.2,1,24.0,10.5,1,0,0,0,0,0.0,0,0,0,0,0.0,None,0,0.0,0,0,1,183.75,120.12,122.28,220113,1148.6,126.54
2024-01-01,0,0,0,0,None,Winter,17.5,60.8,college,0,2,6.9,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,2,2,0,0.0,0.0,0,0,0.0,1,0,0,0.0,178,5.0,0,0.0,0.0,0,450,348,14,4,4.8,0,0,0,0,0.0,None,0,0.0,0,0,0,0.0,34.35,36.05,57392,236.83,34.16
